"","Sample","Area","Feret","Perim.","Major","Minor","Width","Height","Min","Max","AR","Circ.","Round","Solidity","Ellipse","PMAJ","Struct","PA","Rect","Region","Study_Area","Probe","Sample_Num","Depths_CMBS","depth_upper_cmbs","depth_lower_cmbs","Interval_cm","Raw_Mass_g","Notes"
"174","SP_SS_1A_04",34020.348,403.529,953.825,400.25,108.223,333.333,258.621,0,85,3.698,0.47,0.27,0.877,0.536198810257042,2.38307307932542,42.5,0.0280368972122213,0.394635957873282,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"175","SP_SS_1A_04",28603.516,279.313,814.26,254.527,143.085,201.149,247.126,1,103,1.779,0.542,0.562,0.852,0.71925898998969,3.19911050694032,52,0.0284671297053132,0.575417549503048,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"176","SP_SS_1A_04",8257.366,144.137,401.383,131.112,80.188,137.931,91.954,0,77,1.635,0.644,0.612,0.868,0.687449956002638,3.06137500762707,38.5,0.0486090843012166,0.651042026083472,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"177","SP_SS_1A_04",27249.308,246.859,810.893,204.128,169.966,241.379,195.402,0,75,1.201,0.521,0.833,0.836,0.89230258659567,3.97247315409939,37.5,0.0297582969813399,0.57773275314569,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"178","SP_SS_1A_04",22228.829,199.914,624.774,180.209,157.054,189.655,178.161,0,68,1.147,0.716,0.872,0.895,0.778455845800724,3.46694116276102,34,0.0281064738048055,0.657869339870115,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"179","SP_SS_1A_04",25796.011,313.574,1003.985,301.32,109.002,229.885,281.609,0,125,2.764,0.322,0.362,0.782,0.749503829689953,3.33195606000266,62.5,0.0389201648270347,0.398469778675998,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"180","SP_SS_1A_04",24507.862,273.094,705.811,268.789,116.092,270.115,137.931,0,71,2.315,0.618,0.432,0.918,0.590559165605976,2.62589242863361,35.5,0.0287993705856513,0.65780146945009,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"181","SP_SS_1A_04",16448.673,191.389,643.001,176.065,118.951,155.172,172.414,0,55,1.48,0.5,0.676,0.831,0.820431052115505,3.65206599835288,27.5,0.0390913601358602,0.614815745865061,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"182","SP_SS_1A_04",30981.637,281.14,969.263,232.883,169.386,235.632,247.126,0,137,1.375,0.414,0.727,0.83,0.93532347878445,4.16201697848276,68.5,0.0312850802557657,0.53204902539701,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"183","SP_SS_1A_04",10635.487,166.667,451.543,142.677,94.91,143.678,132.184,1,65,1.503,0.655,0.665,0.86,0.710673649337565,3.16479180246291,33,0.0424562598778975,0.560000245308366,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"184","SP_SS_1A_04",16019.29,219.973,581.586,226.681,89.979,183.908,189.655,2,89,2.519,0.595,0.397,0.869,0.576971072077729,2.56565834807505,45.5,0.0363053543571532,0.459280858143618,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"185","SP_SS_1A_04",6308.628,103.608,299.907,98.21,81.788,97.701,97.701,1,82,1.201,0.881,0.833,0.91,0.684435378975724,3.05373179920578,41.5,0.0475391796758344,0.660901749358823,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"186","SP_SS_1A_04",12220.902,156.866,469.771,141.54,109.935,155.172,126.437,0,63,1.287,0.696,0.777,0.857,0.744995749957339,3.31899816306345,31.5,0.0384399613056385,0.622896256784201,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"187","SP_SS_1A_04",29264.105,372.501,930.836,345.598,107.814,252.874,293.103,0,59,3.206,0.424,0.312,0.788,0.605956090058052,2.69340679054856,29.5,0.0318081144118366,0.39483060056932,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"188","SP_SS_1A_04",64902.897,414.79,1190.443,402.502,205.308,247.126,413.793,0,86,1.96,0.576,0.51,0.887,0.665274201021033,2.9576076640613,43,0.0183419085283666,0.634691238324485,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"189","SP_SS_1A_04",12716.344,189.045,512.381,167.973,96.39,178.161,137.931,0,72,1.743,0.609,0.574,0.836,0.685406307739132,3.05037714394575,36,0.0402931062575847,0.517473055541781,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
