"","Sample","depth_upper_cmbs","depth_lower_cmbs","Area_Sum","Area_avg","Area_min","Area_max","Dia_avg","Dia_min","Dia_max","Count","Diameter","Rect","AR","Circ","Round","Solidity","Skewness","Probe","Sample_vol_mL"
"17","SP_SS_1A_17",52,54,996201.662,47438.1743809524,12121.813,157814.779,0.305452619047619,0.169028,0.658541,21,305.452619047619,0.64150255784677,1.49852380952381,0.617523809523809,0.702380952380952,0.885857142857143,2.00650352850051,"1A",5
"18","SP_SS_1A_18",54,56,374322.915,28794.0703846154,5978.333,76760.474,0.244499615384615,0.121236,0.441595,13,244.499615384615,0.614907243892722,1.64315384615385,0.630692307692308,0.657384615384615,0.873,1.06818454632397,"1A",5
"19","SP_SS_1A_19",56,58,602556.511,40170.4340666667,4558.066,95025.768,0.280411066666667,0.093556,0.470317,15,280.411066666667,0.644124937115489,1.57033333333333,0.6056,0.6586,0.8812,0.386577735991211,"1A",5
"20","SP_SS_1A_20",58,60,377328.596,47166.0745,21237.945,188565.21,0.317395375,0.189045,0.954646,8,317.395375,0.677172574007614,1.551375,0.692,0.715625,0.9035,2.23037298208797,"1A",5
"21","SP_SS_1A_21",60,62,288578.427,19238.5618,7332.541,45382.483,0.213905866666667,0.117219,0.36348,15,213.905866666667,0.588617390062878,1.79233333333333,0.622133333333333,0.648666666666667,0.862266666666667,1.19944388648813,"1A",5
"22","SP_SS_1A_22",62,64,529792.602,29432.9223333333,6738.011,106520.021,0.263839611111111,0.134537,0.601282,18,263.839611111111,0.58436172388793,1.83055555555556,0.560333333333333,0.602944444444444,0.843333333333333,1.61657168324424,"1A",5
"23","SP_SS_1A_23",64,66,272625.195,24784.1086363636,3104.77,85249.046,0.241985818181818,0.081682,0.409016,11,241.985818181818,0.607150522428661,1.75536363636364,0.534636363636364,0.638909090909091,0.823181818181818,1.83755899641733,"1A",5
"24","SP_SS_1A_24",66,68,687211.026,45814.0684,6704.981,150977.68,0.312467933333333,0.114943,0.601667,15,312.467933333333,0.593877029003285,1.6302,0.578266666666667,0.657866666666667,0.8606,1.4649111648275,"1A",5
"25","SP_SS_1A_NA1",68,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1A",5
"26","SP_SS_1A_NA2",70,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1A",5
"27","SP_SS_1A_25",72,74,469051.417,33503.6726428571,6110.451,83366.367,0.274209857142857,0.111589,0.645753,14,274.209857142857,0.622949399516577,1.67814285714286,0.612357142857143,0.6885,0.883,0.986034090072792,"1A",5
"28","SP_SS_1A_26",74,76,6429251.212,119060.20762963,6903.158,3778867.937,0.382830277777778,0.143678,2.870027,54,382.830277777778,0.573343755705438,2.06231481481481,0.499814814814815,0.559444444444444,0.827944444444444,6.90344700206988,"1A",5
"29","SP_SS_1A_27",76,78,3190216.835,132925.701458333,2972.652,1865405.034,0.382954291666667,0.089957,1.96901,24,382.954291666667,0.596859815821738,1.68395833333333,0.5715,0.634625,0.858541666666667,4.2630602671243,"1A",5
"30","SP_SS_1A_28",78,80,1230512.678,76907.042375,11890.607,282765.241,0.4163165,0.180372,0.896294,16,416.3165,0.582414727304623,2.157125,0.5408125,0.54375,0.856625,1.39396162667264,"1A",5
"31","SP_SS_1A_29",80,82,253963.548,63490.887,22129.741,95488.18,0.35446425,0.216645,0.461276,4,354.46425,0.620320890300054,1.32775,0.5315,0.75375,0.87525,-0.33266250100822,"1A",5
"32","SP_SS_1A_30",82,84,2234212.027,72071.3557096774,4855.331,601961.98,0.347146935483871,0.094784,1.094507,31,347.146935483871,0.569389620236698,1.75316129032258,0.51658064516129,0.627967741935484,0.847161290322581,3.12950478734714,"1A",5
"33","SP_SS_1A_31",84,86,448308.914,34485.3010769231,4525.037,90368.613,0.293580230769231,0.114943,0.521249,13,293.580230769231,0.525094729989203,2.12223076923077,0.528615384615385,0.542,0.825923076923077,0.818175915000421,"1A",5
"34","SP_SS_1A_32",86,88,524673.036,34978.2024,12253.931,149095,0.300193933333333,0.171453,0.679256,15,300.193933333333,0.542469551242706,2.018,0.517,0.556066666666667,0.838733333333333,2.31852584821428,"1A",5
"35","SP_SS_1A_33",88,90,1105430.099,73695.3399333333,5879.245,459472.873,0.379505333333333,0.135271,1.060045,15,379.505333333333,0.58364508821538,1.80366666666667,0.504,0.614333333333333,0.866,3.00734429946058,"1A",5
"36","SP_SS_1A_34",90,92,219678.965,43935.793,18991.942,98526.891,0.2993008,0.184714,0.461384,5,299.3008,0.606232807823283,1.3822,0.502,0.7474,0.844,1.12226907325668,"1A",5
"37","SP_SS_1A_35",92,94,445831.703,24768.4279444444,9545.515,54729.822,0.235944444444444,0.164372,0.402832,18,235.944444444444,0.598653571955019,1.51144444444444,0.522277777777778,0.698277777777778,0.843,0.901044997742057,"1A",5
"38","SP_SS_1A_36",94,96,615800.137,51316.6780833333,15935.179,261580.014,0.2973165,0.167598,0.716545,12,297.3165,0.637157048178542,1.50008333333333,0.73,0.698666666666667,0.86875,2.68615659332063,"1A",5
"39","SP_SS_1A_37",96,98,418230.925,32171.6096153846,5806.887,87778.528,0.253501769230769,0.145609,0.495489,13,253.501769230769,0.670360933694404,1.50384615384615,0.758307692307692,0.707153846153846,0.884692307692308,1.36354283126585,"1A",5
"40","SP_SS_1A_38",98,100,259419.312,25941.9312,8642.809,52532.073,0.276711,0.15591,0.381192,10,276.711,0.529598261283446,2.178,0.5764,0.525,0.8019,0.47313875113464,"1A",5
"41","SP_SS_1A_39",100,102,705064.146,39170.2303333333,13369.345,109655.638,0.309756833333333,0.166385,0.611614,18,309.756833333333,0.632456946053869,1.85177777777778,0.6565,0.648611111111111,0.859,1.20442994860065,"1A",5
"42","SP_SS_1A_40",102,104,1144091.832,36906.1881290323,9993.248,182309.251,0.278731032258065,0.15806,0.649625,31,278.731032258064,0.618500807274555,1.55187096774194,0.673967741935484,0.704161290322581,0.861806451612903,3.11477532653127,"1A",5
"43","SP_SS_1A_41",104,106,459554.356,32825.3111428571,8642.809,73058.744,0.277079,0.174313,0.401214,14,277.079,0.653427984138589,1.8755,0.714428571428571,0.6315,0.876071428571429,0.998023403751064,"1A",5
"44","SP_SS_1A_42",106,108,569615.124,37974.3416,10938.555,117893.315,0.281415866666667,0.140415,0.503465,15,281.415866666667,0.646302887847021,1.5962,0.7228,0.657733333333333,0.877333333333333,1.70228651860064,"1A",5
"45","SP_SS_1A_43",108,110,4307089.806,138938.38083871,8777.853,1175557.056,0.510069451612903,0.129925,1.957723,31,510.069451612903,0.601843970434933,2.01567741935484,0.635,0.607612903225806,0.854225806451613,2.92698403285625,"1A",5
"46","SP_SS_1A_44",110,112,567724.509,40551.7506428571,12018.906,103983.795,0.311270142857143,0.169202,0.533167,14,311.270142857143,0.615124476155075,1.73485714285714,0.637285714285714,0.621071428571429,0.847857142857143,1.25515215279021,"1A",5
"47","SP_SS_1A_45",112,114,4242673.867,80050.4503207547,5266.712,2024172.856,0.332872471698113,0.11504,2.036964,53,332.872471698113,0.617492050687295,1.69930188679245,0.675905660377358,0.641792452830189,0.85511320754717,6.60816739676284,"1A",5
"48","SP_SS_1A_46",114,116,6512452.433,90450.7282361111,4062.624,4376998.5,0.325948319444444,0.115659,3.023076,72,325.948319444444,0.544510353206742,2.18413888888889,0.498833333333333,0.533333333333333,0.819,8.2243484103328,"1A",5
"49","SP_SS_1A_47",116,118,926212.229,46310.61145,7002.246,178788.488,0.3133971,0.112913,0.692547,20,313.3971,0.632581436552082,1.6072,0.5875,0.65345,0.8752,1.90142803415441,"1A",5
"50","SP_SS_1A_48",118,120,380334.277,22372.6045294118,7266.482,52847.142,0.216559882352941,0.120004,0.367996,17,216.559882352941,0.634371537796529,1.43858823529412,0.618117647058824,0.730058823529412,0.873,0.766920326925184,"1A",5
