 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
63,21634.299,1,83,640.790,2557.471,2126.437,172.414,160.920,171.868,160.272,3.276,0.662,207.614,2574.713,2143.678,138.366,160.920,1.072,0.933,0.898
64,21865.505,12,72,1183.372,3270.115,2620.690,304.598,310.345,346.052,80.450,47.756,0.196,399.001,3270.115,2913.793,41.496,113.061,4.301,0.232,0.613
65,32368.875,0,118,1443.317,2321.839,5201.150,120.690,390.805,393.495,104.736,87.840,0.195,391.860,2379.310,5591.954,85.795,120.690,3.757,0.266,0.786
66,177070.956,0,113,4237.996,3293.104,4379.310,459.770,1505.747,1496.249,150.679,99.345,0.124,1567.207,3298.851,4385.058,106.840,229.373,9.930,0.101,0.554
67,203263.321,0,116,2263.971,1275.862,2413.793,528.736,683.908,731.912,353.599,115.444,0.498,773.154,1367.816,2419.540,122.863,371.865,2.070,0.483,0.903
68,45283.395,0,107,1325.725,2954.023,666.667,339.080,373.563,412.837,139.659,132.142,0.324,433.632,3040.230,666.667,124.743,166.617,2.956,0.338,0.829
69,21997.623,0,65,739.956,2586.207,1040.230,212.644,178.161,225.442,124.237,149.563,0.505,233.944,2586.207,1074.713,152.176,125.260,1.815,0.551,0.889
70,28966.840,0,81,880.676,2712.644,3086.207,229.885,270.115,308.460,119.567,56.706,0.469,325.208,2712.644,3333.333,46.432,132.752,2.580,0.388,0.854
71,19916.767,0,81,676.090,5643.678,2379.310,172.414,201.149,203.724,124.476,135.161,0.548,261.226,5643.678,2379.310,129.644,148.394,1.637,0.611,0.843
72,26225.394,0,53,817.627,6724.138,4666.667,235.632,235.632,265.509,125.763,39.525,0.493,278.246,6752.874,4890.805,51.710,144.459,2.111,0.474,0.788
73,20907.651,0,121,1071.556,2477.012,2695.402,212.644,316.092,294.861,90.281,121.329,0.229,357.340,2522.989,2695.402,117.801,114.190,3.266,0.306,0.707
74,8092.219,1,89,590.291,4385.058,3465.517,63.218,206.897,195.386,52.733,89.322,0.292,207.614,4413.793,3672.414,85.236,63.218,3.705,0.270,0.763
